City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
200,Dikson,100,RU,1666232499,98,73.5069,80.5464,32.32,20.62
201,Kathu,100,TH,1666232500,99,7.9178,98.3332,80.69,15.19
202,Giyani,0,ZA,1666232500,75,-23.3025,30.7187,67.55,4.32
203,Asău,78,RO,1666232500,86,46.4333,26.4,45.52,4.21
204,Arraial do Cabo,20,BR,1666232501,88,-22.9661,-42.0278,71.56,11.5
205,Lake Cowichan,100,CA,1666232501,75,48.825,-124.0546,59.2,0.87
206,Tayu,100,ID,1666232501,77,-6.5397,111.0518,82.15,6.26
207,Meulaboh,100,ID,1666232502,86,4.1363,96.1285,76.89,2.82
208,Arlit,0,NE,1666232502,23,18.7369,7.3853,76.5,11.86
209,Airai,90,TL,1666232503,62,-8.9266,125.4092,75.11,1.05
210,Ribeira Grande,100,PT,1666232503,74,38.5167,-28.7,63.77,4.0
211,Zhangjiakou Shi Xuanhua Qu,95,CN,1666232503,27,40.6103,115.0447,57.02,5.41
212,Esim,32,GH,1666232504,88,4.8699,-2.2405,76.6,6.64
213,Dedza,12,MW,1666232504,68,-14.3779,34.3332,59.94,4.14
214,Longyearbyen,40,SJ,1666232476,64,78.2186,15.6401,28.24,12.66
215,Tiksi,99,RU,1666232505,89,71.6872,128.8694,16.99,18.23
216,Clyde River,100,CA,1666232505,93,70.4692,-68.5914,21.43,8.05
217,Klaksvík,28,FO,1666232505,73,62.2266,-6.589,41.92,16.06
218,Anloga,63,GH,1666232506,86,5.7947,0.8973,78.73,12.12
219,College,100,US,1666232269,90,64.8569,-147.8028,36.81,0.0
220,Saint Paul Harbor,100,US,1666232506,61,57.79,-152.4072,47.71,13.8
221,Quelimane,40,MZ,1666232507,88,-17.8786,36.8883,73.35,0.0
222,Samarai,72,PG,1666232507,68,-10.6167,150.6667,85.53,11.65
223,Port Moresby,40,PG,1666232507,62,-9.4431,147.1797,89.02,11.5
224,Port Hardy,100,CA,1666232508,100,50.6996,-127.4199,57.38,0.0
225,Yar-Sale,100,RU,1666232508,84,66.8333,70.8333,36.7,15.93
226,Pulgaon,15,IN,1666232509,78,20.7333,78.3333,71.22,5.1
227,Ishinomaki,7,JP,1666232509,50,38.4167,141.3,64.4,16.82
228,Mporokoso,100,ZM,1666232509,39,-9.3727,30.125,64.87,6.29
229,Tiarei,6,PF,1666232510,77,-17.5333,-149.3333,77.02,10.71
230,Deputatsky,11,RU,1666232247,85,69.3,139.9,-0.22,5.1
231,Muisne,100,EC,1666232510,82,0.6,-80.0333,74.37,7.76
232,Onega,100,RU,1666232511,97,63.9061,38.1404,37.42,15.41
233,San Patricio,0,US,1666232511,32,28.017,-97.5169,63.86,6.11
234,Curuçá,97,BR,1666232511,77,-0.7289,-47.8481,79.27,8.28
235,Karīmnagar,10,IN,1666232512,88,18.4333,79.15,74.98,2.51
236,Hambantota,91,LK,1666232512,78,6.1241,81.1185,79.95,18.95
237,Byron Bay,100,AU,1666232240,82,-28.65,153.6167,70.72,13.0
238,Salalah,0,OM,1666232513,68,17.0151,54.0924,73.49,2.3
239,Zaterechnyy,42,RU,1666232513,80,44.7931,45.2097,54.18,6.02
240,Balaipungut,100,ID,1666232514,64,1.05,101.2833,85.24,1.86
241,Broome,20,US,1666232514,75,42.2506,-75.833,43.7,11.5
242,Altay,98,CN,1666232514,55,47.8667,88.1167,36.28,1.77
243,Malanje,100,AO,1666232515,96,-9.5402,16.341,65.41,3.11
244,Tezu,1,IN,1666232515,64,27.9167,96.1667,74.41,1.41
245,Caranavi,99,BO,1666232516,98,-15.8167,-67.55,64.45,2.39
246,High Level,75,CA,1666232413,71,58.5169,-117.136,48.31,4.61
247,Torbay,100,CA,1666232516,96,47.6666,-52.7314,55.76,12.66
248,Qaanaaq,0,GL,1666232517,66,77.484,-69.3632,-1.23,10.83
249,Lorengau,83,PG,1666232517,61,-2.0226,147.2712,87.01,8.41
250,Kitob,0,UZ,1666232518,46,39.0843,66.8332,46.45,4.63
251,Gerāsh,100,IR,1666232518,19,27.6652,54.1371,57.34,1.95
252,Kahului,40,US,1666232518,65,20.8947,-156.47,84.22,8.05
253,Bathsheba,75,BB,1666232519,83,13.2167,-59.5167,81.21,10.36
254,Port Blair,30,IN,1666232519,80,11.6667,92.75,81.36,15.28
255,Ajdabiya,91,LY,1666232520,64,30.7554,20.2263,68.2,8.21
256,Itarema,10,BR,1666232520,82,-2.9248,-39.9167,78.69,17.0
257,San Cristobal,100,VE,1666232521,97,7.7669,-72.225,71.78,1.36
258,Santo Antônio do Içá,100,BR,1666232521,94,-3.1022,-67.9397,75.45,0.72
259,Lüderitz,20,NA,1666232522,90,-26.6481,15.1594,59.49,17.94
260,Great Yarmouth,100,GB,1666232522,84,52.6083,1.7305,58.44,20.04
261,Ossora,100,RU,1666232522,47,59.2353,163.0719,32.7,10.11
262,Koróni,0,GR,1666232523,73,36.8,21.95,63.07,3.69
263,Namtsy,99,RU,1666232523,87,62.7161,129.6658,20.43,8.01
264,Nemuro,2,JP,1666232524,58,43.3236,145.575,52.52,9.55
265,Coruripe,5,BR,1666232525,76,-10.1256,-36.1756,73.74,8.41
266,Butembo,100,CD,1666232525,96,0.15,29.2833,56.14,2.82
267,Linxia Chengguanzhen,100,CN,1666232525,78,35.6003,103.2064,50.59,3.58
